"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Sea (Garena)","SE","71217561600","127.69","Singapore"
"2","DBS","DBSDF","69756116992","27.16","Singapore"
"3","OCBC Bank","O39.SI","44127411493","9.82","Singapore"
"4","UOB","U11.SI","40240520723","24","Singapore"
"5","Singtel","SNGNF","31328206848","1.84","Singapore"
"6","Wilmar","WLMIF","22097520640","3.51","Singapore"
"7","Grab Holdings","GRAB","20650817536","5.52","Singapore"
"8","Singapore Airlines","SINGF","11968901120","3.91","Singapore"
"9","CapitaLand Mall Trust","C38U.SI","10467681031","1.58","Singapore"
"10","ST Engineering","SJX.F","8880467793","2.78","Singapore"
"11","Ascendas Reit","A17U.SI","8772059416","2.09","Singapore"
"12","Keppel","BN4.SI","8186415286","4.5","Singapore"
"13","Flex","FLEX","7917307392","17.06","Singapore"
"14","Singapore Exchange","SPXCF","7716375040","7.22","Singapore"
"15","Great Eastern","G07.SI","7581580270","16.02","Singapore"
"16","Genting Singapore","G13.SI","6998013464","0.58","Singapore"
"17","Jardine Singapore","C07.SI","6516017785","16.49","Singapore"
"18","BOC Aviation","2588.HK","6485451209","9.34","Singapore"
"19","Mapletree Logistics Trust","M44U.SI","6259602586","1.31","Singapore"
"20","Mapletree Industrial Trust","ME8U.SI","5065820128","1.9","Singapore"
"21","City Developments","C09.SI","4882682406","5.38","Singapore"
"22","Olam","O32.SI","4753758061","1.29","Singapore"
"23","Mapletree Commercial Trust","N2IU.SI","4572237728","1.38","Singapore"
"24","UOL Group","U14.SI","4545509306","5.38","Singapore"
"25","Frasers Logistics &amp; Industrial Trust","BUOU.SI","3842786455","1.04","Singapore"
"26","SATS","S58.SI","3512932727","3.13","Singapore"
"27","Suntec REIT","T82U.SI","3444994386","1.21","Singapore"
"28","Sembcorp","U96.SI","3335707156","1.87","Singapore"
"29","Kulicke and Soffa Industries","KLIC","3267032832","52.44","Singapore"
"30","Keppel REIT","K71U.SI","3120223174","0.84","Singapore"
"31","Kenon Holdings","KEN","3053867520","56.68","Singapore"
"32","Mapletree North Asia Commercial Trust","RW0U.SI","2859640571","0.81","Singapore"
"33","NetLink Trust","CJLU.SI","2825476842","0.73","Singapore"
"34","United Industrial Corporation","U06.SI","2759344738","1.93","Singapore"
"35","ComfortDelGro","C52.SI","2369302278","1.09","Singapore"
"36","HPH Trust","HCTPF","2291019520","0.26","Singapore"
"37","TDCX","TDCX","2000026112","14","Singapore"
"38","Yanlord","Z25.SI","1680542925","0.87","Singapore"
"39","Karooooo","KARO","1020612480","32.98","Singapore"
"40","Triterras","TRIT","136441280","1.64","Singapore"
"41","Society Pass","SOPA","70812760","3.05","Singapore"
